sample,strain,timepoint,condition,Drug,ATC,replicate,fastq_path,raw_reads,assembled_reads
1,WT,T0,YPD,,No,1,./data/WT-1_S169_L001,543199,511237
2,WT,T0,YPD,,No,2,./data/WT-2_S170_L001,613699,563118
3,WT,T0,YPD,,No,3,./data/WT-3_S171_L001,492029,466635
4,WT,T3,YPD,No,No,1,./data/WT-4_S172_L001,514401,477197
5,WT,T3,YPD,No,No,2,./data/WT-5_S173_L001,548335,516723
6,WT,T3,YPD,No,No,3,./data/WT-6_S174_L001,560684,513004
7,WT,T3,YPD_CASP,Casp,No,1,./data/WT-10_S178_L001,644818,583766
8,WT,T3,YPD_CASP,Casp,No,2,./data/WT-11_S179_L001,486498,456824
9,WT,T3,YPD_CASP,Casp,No,3,./data/WT-12_S180_L001,561766,525969
10,WT,T0,YPD_ATC,,Yes,1,./data/WT-13_S181_L001,552371,487212
11,WT,T0,YPD_ATC,,Yes,2,./data/WT-14_S182_L001,637531,553729
12,WT,T0,YPD_ATC,,Yes,3,./data/WT-15_S183_L001,454598,398548
13,WT,T3,YPD_ATC,No,Yes,1,./data/WT-16_S184_L001,523029,483391
14,WT,T3,YPD_ATC,No,Yes,2,./data/WT-17_S185_L001,534582,484856
15,WT,T3,YPD_ATC,No,Yes,3,./data/WT-18_S186_L001,585025,515302
16,WT,T3,YPD_ATC_CASP,Casp,Yes,1,./data/WT-22_S190_L001,474785,433718
17,WT,T3,YPD_ATC_CASP,Casp,Yes,2,./data/WT-23_S191_L001,405460,361950
18,WT,T3,YPD_ATC_CASP,Casp,Yes,3,./data/WT-24_S192_L001,479340,436431
19,ARB,T0,YPD,,No,1,./data/ARB-1_S121_L001,906389,853085
20,ARB,T0,YPD,,No,2,./data/ARB-2_S122_L001,882164,832667
21,ARB,T0,YPD,,No,3,./data/ARB-3_S123_L001,576132,554237
22,ARB,T3,YPD,No,No,1,./data/ARB-4_S124_L001,776756,753113
23,ARB,T3,YPD,No,No,2,./data/ARB-5_S125_L001,752120,728901
24,ARB,T3,YPD,No,No,3,./data/ARB-6_S126_L001,869161,824518
25,ARB,T3,YPD_CASP,Casp,No,1,./data/ARB-10_S130_L001,860229,828723
26,ARB,T3,YPD_CASP,Casp,No,2,./data/ARB-11_S131_L001,849336,820350
27,ARB,T3,YPD_CASP,Casp,No,3,./data/ARB-12_S132_L001,1054031,1008024
28,ARB,T0,YPD_ATC,,Yes,1,./data/ARB-13_S133_L001,887791,848836
29,ARB,T0,YPD_ATC,,Yes,2,./data/ARB-14_S134_L001,671685,652075
30,ARB,T0,YPD_ATC,,Yes,3,./data/ARB-15_S135_L001,875768,857668
31,ARB,T3,YPD_ATC,No,Yes,1,./data/ARB-16_S136_L001,212707,206861
32,ARB,T3,YPD_ATC,No,Yes,2,./data/ARB-17_S137_L001,850052,827066
33,ARB,T3,YPD_ATC,No,Yes,3,./data/ARB-18_S138_L001,951690,914188
34,ARB,T3,YPD_ATC_CASP,Casp,Yes,1,./data/ARB-22_S142_L001,947849,915726
35,ARB,T3,YPD_ATC_CASP,Casp,Yes,2,./data/ARB-23_S143_L001,892455,862012
36,ARB,T3,YPD_ATC_CASP,Casp,Yes,3,./data/ARB-24_S144_L001,997066,962008
37,ERB,T0,YPD,,No,1,./data/ERB-1_S145_L001,554012,529425
38,ERB,T0,YPD,,No,2,./data/ERB-2_S146_L001,676290,650373
39,ERB,T0,YPD,,No,3,./data/ERB-3_S147_L001,626529,589738
40,ERB,T3,YPD,No,No,1,./data/ERB-4_S148_L001,697972,663995
41,ERB,T3,YPD,No,No,2,./data/ERB-5_S149_L001,795392,768001
42,ERB,T3,YPD,No,No,3,./data/ERB-6_S150_L001,529855,486751
43,ERB,T3,YPD_CASP,Casp,No,1,./data/ERB-10_S154_L001,567566,556607
44,ERB,T3,YPD_CASP,Casp,No,2,./data/ERB-11_S155_L001,563085,546270
45,ERB,T3,YPD_CASP,Casp,No,3,./data/ERB-12_S156_L001,773365,742960
46,ERB,T0,YPD_ATC,,Yes,1,./data/ERB-13_S157_L001,264744,259163
47,ERB,T0,YPD_ATC,,Yes,2,./data/ERB-14_S158_L001,725657,701421
48,ERB,T0,YPD_ATC,,Yes,3,./data/ERB-15_S159_L001,389759,381001
49,ERB,T3,YPD_ATC,No,Yes,1,./data/ERB-16_S160_L001,445880,431370
50,ERB,T3,YPD_ATC,No,Yes,2,./data/ERB-17_S161_L001,563509,548689
51,ERB,T3,YPD_ATC,No,Yes,3,./data/ERB-18_S162_L001,551704,534340
52,ERB,T3,YPD_ATC_CASP,Casp,Yes,1,./data/ERB-22_S166_L001,514470,502706
53,ERB,T3,YPD_ATC_CASP,Casp,Yes,2,./data/ERB-23_S167_L001,460979,450933
54,ERB,T3,YPD_ATC_CASP,Casp,Yes,3,./data/ERB-24_S168_L001,652653,631783